,F,I,tfidf,H,H-tilde,H-tilde_std,N
504,2.907293673002144e-05,1.989500000000002,22.467084390666287,0.0,1.989500000000002,0.07169204976840955,4
50k,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
52,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
54,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
550,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
5s,1.453646836501072e-05,-0.0009999999999992237,4.923623917106626,1.0,0.9990000000000008,0.03160696125854548,2
64,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
644,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
6ix,5.814587346004288e-05,1.2137499999999903,8.460953473093362,1.75,2.9637499999999903,0.09082090893717584,8
6s,2.180470254751608e-05,-0.005333333333334744,4.518158808998462,1.584962500721156,1.5796291673878213,0.059389486537275424,3
70,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
7am,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
808,1.453646836501072e-05,0.9940000000000008,11.233542195333143,0.0,0.9940000000000008,0.07722693830522606,2
84s,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
85,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
86,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
87,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
876,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
88,1.453646836501072e-05,-0.003999999999999226,4.923623917106626,1.0,0.9960000000000008,0.06311893535223174,2
8am,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
90,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
91,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
911,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
93,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
9393,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
94,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
96,1.453646836501072e-05,-0.0019999999999992246,4.923623917106626,1.0,0.9980000000000008,0.04467661580736863,2
99,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
9s,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
9th,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
___,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
a4,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aaliyah,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aaliyahs,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aaron,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ability,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ablaze,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
able,2.907293673002144e-05,0.4870000000000019,6.024211745331282,1.5,1.9870000000000019,0.07956758133811004,4
about,0.00231856670421921,1.0288712288285708,1.773758839777151,6.260739727406683,7.289610956235254,0.051945152031005984,319
above,2.907293673002144e-05,-0.009499999999998066,4.230476736546681,2.0,1.990500000000002,0.06826236151787105,4
abridge,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
absence,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
absolutely,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
abu,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
abusin,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ac,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
accents,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
accept,0.00010175527855507505,0.2865970126536408,3.653841855858333,3.4677201004744993,3.75431711312814,0.08204414821918234,14
acceptance,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
accepted,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
acceptin,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
access,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
accident,1.453646836501072e-05,-0.0009999999999992237,4.923623917106626,1.0,0.9990000000000008,0.03160696125854548,2
accomplices,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
accomplish,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
accomplishments,1.453646836501072e-05,-0.0009999999999992237,4.923623917106626,1.0,0.9990000000000008,0.03160696125854548,2
account,0.00017443762038012864,3.751408070449989,25.382860419280085,0.7416847557897408,4.49309282623973,0.08370827438780923,24
accountant,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
accountants,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
accounts,3.6341170912526803e-05,-0.019999999999969376,4.007333185232471,2.321928094887362,2.301928094887393,0.08899438184443646,5
accustomed,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ace,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
achieve,1.453646836501072e-05,-0.003999999999999226,4.923623917106626,1.0,0.9960000000000008,0.06311893535223174,2
achieved,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
acidic,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
acres,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
across,5.0877639277537524e-05,-0.026501396429175816,3.670860948611258,2.807354922057604,2.7808535256284284,0.08976204753340693,7
act,0.00018897408874513937,0.3147392818111392,3.184688817072469,4.286790198827112,4.601529480638251,0.08286497232629855,26
actavis,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
actin,0.00015990115201511791,0.2212150500952017,3.094279295105415,4.152391277629867,4.373606327725069,0.08603603864891743,22
acting,0.00012355998110259112,0.333181971449644,3.6157952897765937,3.6901165175936645,4.023298489043309,0.08676752484641428,17
action,7.268234182505361e-05,0.16452451124974266,3.799496133700391,3.121928094887362,3.2864526061371047,0.08177762071427401,10
actions,1.453646836501072e-05,-0.003999999999999226,4.923623917106626,1.0,0.9960000000000008,0.06311893535223174,2
